Name of the food,image,calories,Personal Points,summary,The recipe Key
Strawberry Yogurt Bark,https://www.skinnytaste.com/wp-content/uploads/2024/07/Strawberry-Yogurt-Bark-10.jpg,60 kcal,2,"If you’re looking for a healthy snack with some added protein for the kids this summer, you’ll love this strawberry yogurt bark!",DF GF KF V
Broccoli Cauliflower Salad,https://www.skinnytaste.com/wp-content/uploads/2008/12/Broccoli-and-Cauliflower-Salad-with-Capers-and-Lemon-Vinaigrette-5.jpg,97 kcal,2,"This Broccoli Cauliflower Salad recipe is quick and easy, ideal for warmer weather or if you’re looking for a different way to prepare broccoli.",DF GF LC MP Q V
Juicy Grilled Pork Chops,https://www.skinnytaste.com/wp-content/uploads/2024/07/Grilled-Pork-Chops-13.jpg,272 kcal,5,Juicy Grilled Pork Chops are brined in a saltwater solution and then seasoned with a flavorful dry rub to create the most delicious pork chops!,DF GF HP KF LC
Grilled Eggplant with Feta,https://www.skinnytaste.com/wp-content/uploads/2024/07/Grilled-Eggplant-with-Feta-7.jpg,106 kcal,3,"If you need an easy side dish this summer, this grilled eggplant with feta cheese is great with anything you’re grilling.",GF LC Q V
Korean Chicken,https://www.skinnytaste.com/wp-content/uploads/2024/06/Korean-Grilled-Chicken-Breast-10.jpg,180 kcal,2,"These grilled Korean Chicken Breasts are juicy, sweet, and spicy! I grill them all year, using my indoor grill pan when it’s cold.",DF GF HP Q
Blueberry Zucchini Bread,https://www.skinnytaste.com/wp-content/uploads/2024/07/Blueberry-Zucchini-Bread-10.jpg,111 kcal,4,"This moist and delicious Blueberry Zucchini Bread is low-fat, lightly sweetened, and loaded with summer zucchini and blueberries. Perfect for breakfast or as a snack!",FM KF V
Green Goddess Dressing,https://www.skinnytaste.com/wp-content/uploads/2009/09/Green-Goddess-Dressing_08.jpg,60.3 kcal,1,Creamy and herbaceous basil green goddess dressing is the perfect way to give your next salad an upgrade! Fresh basil makes this dressing a standout.,GF LC
Watermelon Cucumber Granita,https://www.skinnytaste.com/wp-content/uploads/2024/07/Watermelon-Cucumber-Granita-5.jpg,38 kcal,0,"Cool off with this refreshing 4-ingredient, Watermelon Cucumber Granita. Easy to make, and no special equipment needed!",DF GF V
High Protein Whipped Cottage Cheese Bowls,https://www.skinnytaste.com/wp-content/uploads/2024/06/High-Protein-Cottage-Cheese-Pudding-4.jpg,328 kcal,6,"These quick and easy, high-protein Whipped Cottage Cheese Bowls, topped with fruit and almonds, are perfect for breakfast or as a snack.",GF HP MP Q V
Virgin Mojito (Nojito),https://www.skinnytaste.com/wp-content/uploads/2010/06/Nojito-6.jpg,13 kcal,0,"This sugar-free, virgin Mojito mocktail is refreshing when you want an adult cocktail, without the alcohol. Filled with lime, fresh mint and lemon-lime seltzer, they’re perfectly enjoyable to drink.",GF LC V
Flounder Piccata,https://www.skinnytaste.com/wp-content/uploads/2011/12/Flounder-Piccata-5.jpg,280 kcal,5,Flounder piccata is breaded and lightly pan fried served in a lemon butter sauce with capers and parsley. A delicious way to prepare fish!,Q
Cucumber Soup,https://www.skinnytaste.com/wp-content/uploads/2024/06/Cucumber-Soup-8.jpg,169 kcal,3,"A refreshing and light cold Cucumber Soup made with Greek yogurt and fresh herbs. It’s easy to make, no cooking or heating the kitchen, making it perfect for a hot summer day.",GF LC V
Soy-Marinated Beef and Broccoli Skewers,https://www.skinnytaste.com/wp-content/uploads/2024/06/Asian-Beef-and-Broccoli-Skewers-13.jpg,199 kcal,5,"If you love beef and broccoli stir fry, you’ll love these soy-marinated Beef and Broccoli Skewers! A delicious summer dinner idea!",DF GF HP KF
Lobster Rolls,https://www.skinnytaste.com/wp-content/uploads/2022/07/Lobster-Rolls-10.jpg,223 kcal,5,"This Lobster Roll recipe screams summer to me! Made with chunks of chilled lobster tossed with celery, shallots, chives, light mayonnaise and a little lemon zest served on a hot dog bun – delicious!",HP KF Q
Shrimp Fajitas,https://www.skinnytaste.com/wp-content/uploads/2010/05/Shrimp-Fajitas-13.jpg,357 kcal,4,"These shrimp fajitas, seasoned with Chipotle chile powder, cilantro and lime make and easy, 30-minute dinner idea!",HP HF Q
Berry Buckle,https://www.skinnytaste.com/wp-content/uploads/2024/06/Berry-Buckle-10.jpg,145 kcal,5,"This Mixed Berry Buckle, a rustic cake loaded with juicy, seasonal blueberries, raspberries, and blackberries, is the perfect summer dessert.",KF
"Orzo with Bacon, Leeks, Peas, Spinach and Lemon",https://www.skinnytaste.com/wp-content/uploads/2024/06/Orzo-with-Bacon-Peas-Spinach-and-Lemon-8.jpg,314 kcal,7,"This easy Orzo with Bacon, Leeks, Peas, Spinach and Lemon is a one-pot meal that’s sure to become a regular on your dinner rotation!",Q
Grilled Shrimp Tacos with Peach Salsa,https://www.skinnytaste.com/wp-content/uploads/2024/06/Grilled-Shrimp-Tacos-10.jpg,296 kcal,6,These easy grilled shrimp tacos with sweet and juicy peach salsa are the perfect way to bring summer to your dinner table!,DF GF HP
Air Fryer Boneless Chicken Thighs,https://www.skinnytaste.com/wp-content/uploads/2024/06/Air-Fryer-Chicken-Thighs-6.jpg,384 kcal,6,The secret to making the juiciest boneless chicken thighs in the air fryer is marinating them with yogurt. They come out delicious!,AF GF HP KF LC MP
Pan Bagnat,https://www.skinnytaste.com/wp-content/uploads/2024/06/pan-bagnet-10.jpg,308 kcal,6,"Pan Bagnat is a protein-packed tuna sandwich from Nice, France. It’s like a handheld Salade Niçoise only without the potatoes and perfect for picnics or a make-ahead lunch!",DF HP MP Q
Grilled Skirt Steak and Elote Tacos,https://www.skinnytaste.com/wp-content/uploads/2024/06/skirt-steak-tacos-7.jpg,418 kcal,10,Grilled skirt steak tacos topped with Mexican street corn is a match made in heaven for an easy summer dinner idea!,GF HP KF
Grilled Shrimp,https://www.skinnytaste.com/wp-content/uploads/2024/06/Garlic-Butter-Grilled-Shrimp-13.jpg,202 kcal,3,This super easy grilled shrimp recipe with garlic butter is a family favorite and a win-win for busy weeknights!,DF GF HP KF LC Q
Filipino BBQ Pork Skewers,https://www.skinnytaste.com/wp-content/uploads/2008/08/Filipino-BBQ-Pork-Skewers-7.jpg,201 kcal,2,The unique ingredient that makes these Filipino BBQ Pork Skewers so good is a can of 7-Up soda! They’re perfect for summer grilling!,DF GF HP LC
Grape Tomato Sauce,https://www.skinnytaste.com/wp-content/uploads/2012/07/Easy-Garden-Tomato-Sauce-7-scaled.jpg,73 kcal,1,"When grape tomatoes are overflowing in your garden, whip up a quick, easy tomato sauce! Grape or cherry tomatoes sauteed with olive oil, garlic, and fresh herbs are perfect over pasta, grilled chicken, or fish.",DF GF KF LC Q V
Korean Beef Recipe,https://www.skinnytaste.com/wp-content/uploads/2016/03/Korean-Beef-Rice-Bowls-9.jpg,394 kcal,13,"An easy and delicious Korean beef recipe is made with ground beef, served over rice with cucumbers and gochujang sauce.",DF GF HP KF Q
Gallo Pinto,https://www.skinnytaste.com/wp-content/uploads/2024/05/Gallo-Pinto-13.jpg,266 kcal,4,"Gallo Pinto is a Central American breakfast typically served with fried eggs, sour cream, and plantains. It’s made with leftover rice and black beans, so it’s quick to prepare.",DF GF HF KF Q V
Juicy Lucy (Stuffed Turkey Cheeseburger),https://www.skinnytaste.com/wp-content/uploads/2019/06/Inside-Out-Turkey-Cheeseburgers-7.jpg,309 kcal,9,"A juicy, stuffed Turkey Cheeseburger (known as a Juicy Lucy) is delicious and easy! Instead of topping your turkey burger with cheese, the cheese is stuffed in the center so it stays melted and gooey.",HF KF Q
Salad with Berries and Pecans,https://www.skinnytaste.com/wp-content/uploads/2008/03/Baby-Greens-with-Blackberries-and-Pecans-11.jpg,155 kcal,4,"This healthy summer side salad with berries is loaded with sweet, juicy blackberries and raspberries adding a burst of sweetness in every bite. Complimented with a light vinaigrettePecans add the perfect crunch.",DF GF LC Q V
Grilled Chicken Caprese,https://www.skinnytaste.com/wp-content/uploads/2024/05/Grilled-Chicken-Caprese-9.jpg,284 kcal,4,"This 15-minute, high-protein, Grilled Chicken Caprese salad is made with grilled chicken breast cutlets, topped with fresh mozzarella, tomatoes, basil and balsamic glaze, served over a bed of arugula.",GF HP LC Q
Chicken Tikka Masala,https://www.skinnytaste.com/wp-content/uploads/2011/06/Chicken-Tikka-Masala-15.jpg,249 kcal,1,"This easy Chicken Tikka Masala is made with tender chunks of boneless chicken breasts cooked in an aromatic, creamy yogurt-tomato sauce.",GF HP MP Q
"Red, White and Blueberry Cheesecake Cupcakes",https://www.skinnytaste.com/wp-content/uploads/2019/05/Red-White-and-Blue-Cheesecake-Cupcakes-8.jpg,98 kcal,5,"Easy Cheesecake cupcakes made with cream cheese, Greek yogurt with a vanilla wafer crust topped with strawberries and blueberries.",V
Nicoise Salad,https://www.skinnytaste.com/wp-content/uploads/2024/05/Salmon-Nicoise-Salad-5.jpg,494 kcal,5,"I used salmon in place of tuna in this variation of the classic French Niçoise salad! This composed salad contains olives, artichokes, potatoes, green beans, and a whole-grain mustard vinaigrette.",DF GF HP HF MP W
Slow Cooker Pulled Pork,https://www.skinnytaste.com/wp-content/uploads/2023/06/pulled-pork-08.jpg,203 kcal,7,"This easy, “set it and forget it” Slow Cooker Pulled Pork comes out so tender and juicy, made from scratch with my homemade BBQ sauce.",DF GF KF SC
Greek Orzo Salad,https://www.skinnytaste.com/wp-content/uploads/2024/05/Greek-Orzo-Salad-7.jpg,173 kcal,5,This Greek Orzo Salad recipe is a light and flavorful pasta salad that’s delicious as a side dish or main dish. It’d be perfect with anything you’re grilling this summer!,MP Q V
Coconut Chicken Rice Bowl,https://www.skinnytaste.com/wp-content/uploads/2024/05/Coconut-Chicken-Rice-Bowls-12.jpg,429 kcal,8,"This quick and easy high-protein Coconut Chicken Rice Bowl is perfect for lunch or dinner for my gluten-free, dairy-free friends!",DF GF HP MP Q
Fish en Papillote,https://www.skinnytaste.com/wp-content/uploads/2024/05/Branzino-Parchment-Packets-16-scaled.jpg,383 kcal,3,"Mediterranean baked Fish en Papillote topped with a beans, Castelvetrano olives, artichoke hearts, cherry tomatoes, and fresh herbs.",DF GF HP HF
Eton Mess,https://www.skinnytaste.com/wp-content/uploads/2024/05/Eton-Mess-10.jpg,109 kcal,6,"Eton Mess is a classic British dessert made with berries (I used strawberries), whipped cream, and crushed vanilla meringue cookies. You can assemble it in one large bowl or layer it in individual glasses.",KF Q
Thai Fried Rice,https://www.skinnytaste.com/wp-content/uploads/2008/09/Thai-Fried-Rice-12-scaled.jpg,347 kcal,7,"Thai fried rice gets it’s unique flavor from jasmine rice, fish sauce, soy sauce and chili peppers. Use your favorite protein like chicken, shrimp, or tofu.",DF GF HP Q
Air Fryer Turkey Meatloaf,https://www.skinnytaste.com/wp-content/uploads/2024/05/Air-Fryer-Turkey-Meatloaf-7-scaled.jpg,252 kcal,7,"You can’t beat the ease and convenience of air fryer turkey meatloaf—it’s perfectly moist and cooks in half the time, making it a game changer for weeknight dinners!",AF DF FM GF HP MP Q
Strawberry Rhubarb Crisp,https://www.skinnytaste.com/wp-content/uploads/2012/05/Strawberry-Rhubarb-Crisp-20-1.jpg,219 kcal,9,"Warm strawberry rhubarb crisp with a dollop of whipped cream might just be the best easy spring dessert! Tart rhubarb and sweet strawberries are the perfect combination, especially with a cinnamon-spiced oat topping.",GF
Green Curry Noodles,https://www.skinnytaste.com/wp-content/uploads/2024/04/Green-Curry-Noodles-9-scaled.jpg,346 kcal,9,"This simple Thai-inspired Green Curry Noodle recipe uses a creamy coconut sauce with tofu, Thai green curry paste, and vegetables. It’s vegan, gluten-free and anti-inflammatory.",DF GF HP V
Green Goddess Potato Salad,https://www.skinnytaste.com/wp-content/uploads/2024/04/Green-Goddess-Potato-Salad-7-1.jpg,141 kcal,3,"Green Goddess Potato Salad made with red potatoes, scallions, capers, radishes, marinated artichokes in a creamy, green goddess dressing.",GF V
Baked Steelhead Trout,https://www.skinnytaste.com/wp-content/uploads/2024/04/Baked-Steelhead-Trout-8.jpg,242 kcal,1,"This easy Baked Steelhead Trout recipe is quick, flavorful, and delicious! It’s roasted with lemons, lemon zest, and capers.",DF GF HP LC
Almond Cake,https://www.skinnytaste.com/wp-content/uploads/2015/05/Almond-Cake-19.jpg,179 kcal,6,"The best flour-less almond cake recipe ever! It’s gluten-free, with a fantastic light texture, and it doesn’t even need any oil or butter. Best of all, you only need 5 ingredients to make it!",DF GF KF V
Chicken Saltimbocca,https://www.skinnytaste.com/wp-content/uploads/2010/05/Lighter-Chicken-Saltimbocca-6-2.jpg,155.2 kcal,3,Chicken Saltimbocca is made with pounded chicken breasts stuffed with prosciutto and sage in a light white wine sauce.,FM GF HP LC Q
Italian Shrimp Salad,https://www.skinnytaste.com/wp-content/uploads/2024/04/Italian-Shrimp-Salad-6.jpg,198 kcal,4,"This garlicky Italian Shrimp Salad recipe is loaded with shrimp, celery, and a mix of bold Italian olives, all brightened with a lemony dressing.",DF HP LC MP Q W
Cream of Asparagus Soup,https://www.skinnytaste.com/wp-content/uploads/2016/02/creamyasparagussoup.jpg,81 kcal,1,"I LOVE cream of asparagus soup, it’s pure comfort in a bowl and so simple to make. This recipe is made with just 5 ingredients, not counting salt and pepper and is ready under 25 minutes!",GF KF LC Q V
Ground Turkey Tacos,https://www.skinnytaste.com/wp-content/uploads/2024/04/Ground-Turkey-Tacos-20.jpg,399 kcal,11,"The BEST Ground Turkey Tacos from scratch for a healthy, quick and easy taco dinner the whole family will love!",HF KF MP
Protein Waffles,https://www.skinnytaste.com/wp-content/uploads/2021/03/Protein-Waffles-1-1.jpg,121 kcal,3,"These high protein waffles are made with cottage cheese, oat flour and eggs. So good you’ll never make them any other way!",GF HP KF Q V
Pad Thai,https://www.skinnytaste.com/wp-content/uploads/2012/06/Shrimp-Pad-Thai-on-the-Lighter-Side-10.jpg,420 kcal,9,"Who needs takeout when this easy Pad Thai recipe is ready in just 25 minutes? My lightened up version has that signature sweet-and-tangy flavor, along with rice noodles, bean sprouts, tender shrimp, and scrambled eggs. Customize it with your favorite protein!",DF GF KF Q
Chicken Pasta Primavera,https://www.skinnytaste.com/wp-content/uploads/2024/03/Chicken-Pasta-Primavera-14.jpg,369 kcal,7,"One-Pot, Creamy Chicken Pasta Primavera made with lean chicken breast, spring veggies, and a light cream sauce. A delicious, high-protein dinner idea!",FM GF HP HF
Turmeric Garlic Shrimp with Cabbage-Mango Slaw,https://www.skinnytaste.com/wp-content/uploads/2015/05/TurmericGarlicShrimpwithCabbageMangoSlaw.jpg,228 kcal,2,"Tons of flavor in this quick, anti-inflammatory turmeric garlic shrimp dish! The perfect balance of flavors – ready in under 30 minutes.",DF GF HP LC Q W
Grilled Salmon Bruschetta with Avocado,https://www.skinnytaste.com/wp-content/uploads/2022/07/Grilled-Salmon-Bruschetta-6.jpg,340.5 kcal,3,"Grilled Salmon Bruschetta with Avocado is my go-to summer recipe, it’s so easy, fresh and flavorful, a must try!",GF HP LC Q W
Chicken Marbella,https://www.skinnytaste.com/wp-content/uploads/2024/04/Chicken-Marbella-5.jpg,323 kcal,8,"You’ll love this faster and lighter Chicken Marbella. Chicken thighs are cooked on the stove-top with prunes, Spanish olives, capers, garlic and oregano for a flavorful and easy Mediterranean-style dish!",DF GF HP
One Pot Chicken and Orzo,https://www.skinnytaste.com/wp-content/uploads/2024/04/One-Pot-Chicken-and-Orzo-8.jpg,425 kcal,11,"In this One-Pot Chicken and Orzo recipe, crispy chicken thighs cook right on top of the orzo in a garlicky tomato sauce with basil. It’s simple to make, serve it straight from the oven with your favorite side salad.",HP
Arugula Salad,https://www.skinnytaste.com/wp-content/uploads/2024/04/Arugula-Salad-3.jpg,96 kcal,3,"Baby arugula salad is my go-to when I need a quick side salad recipe for fish, steak, chicken, or pork chops!",GF LC Q V
Roasted Asparagus,https://www.skinnytaste.com/wp-content/uploads/2018/04/Roasted-Asparagus-1-4.jpg,26 kcal,0,"This quick and easy recipe for oven-roasted asparagus is the perfect spring side dish. This basic recipe can be seasoned many different ways—add lemon juice, garlic, or shaved Parmesan for variations.",DF GF LC Q V W
Italian Sub Salad,https://www.skinnytaste.com/wp-content/uploads/2024/03/Italian-Sub-Salad-7.jpg,298 kcal,8,"Skip the bread and enjoy a bowl of this healthy Italian Sub Salad with salami, cold cuts and cheese, which takes the indulgence of an Italian hero served as a low-carb salad instead.",HP MP Q
Lemon-Coconut Almond Cake,https://www.skinnytaste.com/wp-content/uploads/2024/03/Coconut-Lemon-Almond-Cake-9.jpg,198 kcal,7,This moist Lemon-Coconut Almond Flour Cake is not just a treat for those following a gluten-free or dairy-free diet but a delightful dessert everyone will love. The perfect cake for any occasion!,DF GF V
Baked Honey-Mustard Ham,https://www.skinnytaste.com/wp-content/uploads/2024/03/Honey-Mustard-Ham-10.jpg,106 kcal,3,"This easy, 4-ingredient Honey-Mustard Ham recipe is made with honey, Dijon mustard, and a touch of brown sugar on a baked spiral ham.",DF GF LC
Lemon Poppy Seed Cupcakes,https://www.skinnytaste.com/wp-content/uploads/2024/03/Lemon-Poppyseed-Cupcakes-22.jpg,152 kcal,6,"Lemon Poppy Seed Cupcakes are a delightful dessert that combines the zesty, fresh flavor of lemon with the subtle, nutty taste of poppy seeds.",V
Deviled Eggs,https://www.skinnytaste.com/wp-content/uploads/2018/11/Instant-Pot-Hard-Boiled-Eggs-Finals-5.jpg,96.8 kcal,0,"Made with mayo, dijon mustard, and paprika, these Classic Deviled Eggs are an easy and flavorful side dish or appetizer. They’re perfect for holidays like Easter, summer gatherings, and packed lunches, and they can store well too!",DF GF KF LC Q V
Risotto Primavera,https://www.skinnytaste.com/wp-content/uploads/2024/03/Risotto-Primavera-8.jpg,303 kcal,10,"This Risotto Primavera recipe showcases the freshness and variety of spring in a bowl loaded with asparagus, peas, zucchini, and cherry tomatoes.",V
Honey Baked Spiral Ham,https://www.skinnytaste.com/wp-content/uploads/2010/03/Honey-Baked-Spiral-Ham-8.jpg,135 kcal,6,"Baked spiral ham with a simple homemade glaze made with fresh orange juice, pineapple juice, honey, Dijon mustard, and a touch of brown sugar is the perfect holiday dish!",DF GF KF LC
Crustless Quiche,https://www.skinnytaste.com/wp-content/uploads/2019/04/crustless-quiche-5.jpg,215 kcal,5,"This low-carb Crustless Quiche is light and delicious, perfect for breakfast or brunch (or even a light dinner)! Made with leftover ham or ham steak, broccoli and cheese.",GF KF LC Q
Spanish Tortilla with Pimenton Aioli,https://www.skinnytaste.com/wp-content/uploads/2021/04/Spanish-Tortilla_new-6.jpg,247 kcal,5,"Spanish Tortilla is a layered potato, onion and egg open-faced omelet. Serve it as an appetizer, or main for breakfast/brunch or a light dinner.",DF GF KF MP V
Pea Salad,https://www.skinnytaste.com/wp-content/uploads/2024/03/Double-Pea-Salad-6.jpg,89 kcal,2,"This spring, double Pea Salad recipe, made with blanched peas, minced shallot, feta cheese, and a creamy dressing made of more peas, yogurt, mint, and dill is super fresh and very easy!",GF HF Q V
Fish Cakes,https://www.skinnytaste.com/wp-content/uploads/2024/03/Air-Fryer-Fish-Cakes-10.jpg,277 kcal,6,"Crispy fish cakes with roasted pepper sauce can be made with any white fish, canned salmon, or even crab. Bake them or make them in the air fryer!",AF DF FM GF HP KF MP
Crispy Butter Beans,https://www.skinnytaste.com/wp-content/uploads/2024/03/Crispy-Butter-Beans-with-Green-Sauce-6.jpg,187 kcal,3,"Crispy Butter Beans are a healthy, high-fiber snack or appetizer made with a fresh and bright lemon-herb green sauce for dipping. They are so good, even my kids love them!",AF DF HF Q V
Green Shakshuka,https://www.skinnytaste.com/wp-content/uploads/2024/02/spring-shakshuka-8.jpg,291 kcal,2,"This spring Green Shakshuka is a veggie-packed twist on the classic egg dish perfect to enjoy with crusty bread for breakfast/brunch, lunch or dinner.",GF HF Q V
Whole Wheat Irish Soda Bread Muffins,https://www.skinnytaste.com/wp-content/uploads/2020/03/240305_whole-wheat-irish-soda-bread-muffins-18.jpg,147 kcal,6,"These Whole Wheat Irish Soda Bread Muffins are the perfect start to a lazy, cold March Sunday morning. Speckled with raisins, they are sweet and perfect to enjoy with a hot cup of tea.",KF V
Avocado Egg Salad,https://www.skinnytaste.com/wp-content/uploads/2012/04/Avocado-Egg-Salad-8.jpg,155 kcal,2,"This avocado egg salad uses half the egg yolks and adds lots of healthy fats from avocado. An easy healthy, high protein lunch!",DF GF LC Q V W
Slow Cooker Chicken and Lentil Soup,https://www.skinnytaste.com/wp-content/uploads/2024/02/Slow-Cooker-Chicken-and-Lentil-Soup-4.jpg,350 kcal,2,"This healthy Slow Cooker Chicken and Lentil Soup is an easy slow cooker dump recipe. There’s no need to sauté anything, and it tastes delicious!",DF FM GF HP HF MP SC
Crock Pot Corned Beef and Cabbage,https://www.skinnytaste.com/wp-content/uploads/2018/03/Crock-Pot-Corned-Beef-and-Cabbage-6.jpg,294.5 kcal,8,The crockpot is the easiest way to make Corned Beef and Cabbage! Slow cooking the beef makes it melt in your mouth.,GF HF SC
